Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Express Line,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:30,10h 50m,07:20,4.4,INR 1552,18 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,10h 10m,04:40,5.0,INR 1500,10 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Lokenath Bus Service,Volvo A/C Seater (2+2),21:15,08h 30m,05:45,3.9,INR 999,32 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,10h 15m,05:00,4.3,INR 1499,29 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:30,10h 10m,06:40,3.6,INR 1800,28 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:15,09h 30m,04:45,3.8,INR 1760,18 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Rubi Paribahan  ,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:00,09h 45m,04:45,3.4,INR 1500,17 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:50,10h 10m,06:00,4.3,INR 1500,16 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Modern Travels,Bharat Benz A/C Sleeper (2+1),19:30,09h 30m,05:00,3.9,INR 1600,12 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),18:00,09h 00m,03:00,3.5,740,17 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:00,10h 50m,04:50,4.9,INR 1650,19 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Poulami Paribahan,Volvo Multi-Axle A/C seater/sleeper (2+1),17:45,09h 45m,03:30,3.6,INR 1200,44 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),18:30,09h 20m,03:50,3.7,INR 1200,32 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Modern Travels,Bharat Benz A/C Seater /Sleeper (2+1),18:30,09h 45m,04:15,3.9,INR 2925,46 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Lokenath (Maa Tara),NON A/C Seater / Sleeper (2+2),21:30,10h 30m,08:00,2.3,INR 400,11 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Aitiana Airwings,Benz A/C Sleeper (2+1),18:00,10h 00m,04:00,4.1,INR 1200,6 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Aitiana Airwings,Volvo Multi-Axle Sleeper A/C (2+1),18:30,09h 30m,04:00,4.1,INR 1499,36 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Aitiana Airwings,Volvo Multi-Axle A/C Sleeper (2+1),19:00,09h 00m,04:00,4.1,INR 1499,36 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Aradhana Bus Service,NON A/C Seater / Sleeper (2+2),16:45,10h 45m,03:30,2.4,INR 750,19 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Maa Durga Bus Service,NON AC Seater / Sleeper 2+1,19:00,11h 15m,06:15,2.6,INR 600,8 Seats available
Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj,Lokenath (Maa Tara),NON A/C Seater / Sleeper (2+2),15:45,11h 30m,03:15,2.3,INR 600,10 Seats available
Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata,NBSTC-RAI-KOL-R1-19:30 - 156414,NON A/C Seater Push Back (2+2),20:30,10h 00m,06:30,4.1,INR 341,5 Seats available
Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata,Express Line,Volvo 9600 Multi-Axle A/C Sleeper (2+1),22:15,08h 55m,07:10,4.6,INR 1599,19 Seats available
Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata,Lokenath Bus Service,Volvo Multi-Axle A/C Seater/Sleeper (2+1),22:45,08h 00m,06:45,4.5,INR 1199,39 Seats available
Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata,Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),23:30,08h 15m,07:45,4.8,INR 1499,29 Seats available
Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata,Lokenath Bus Service,Volvo A/C Seater (2+2),20:50,09h 10m,06:00,5.0,INR 849,37 Seats available
Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),22:30,08h 55m,07:25,5.0,INR 1500,17 Seats available
Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21:45,08h 20m,06:05,3.8,INR 1050,22 Seats available
Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata,Rubi Paribahan  ,Volvo 9600 Multi-Axle A/C Sleeper (2+1),23:30,08h 00m,07:30,4.3,INR 1200,17 Seats available
Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C Seater/Sleeper (2+1),23:45,09h 15m,09:00,3.4,INR 1199,36 Seats available
Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata,Lokenath Bus Service,A/C Seater / Sleeper (2+1),22:45,08h 00m,06:45,1.6,INR 875,51 Seats available
Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),23:50,08h 55m,08:45,5.0,INR 1500,25 Seats available
